inventory_id,layer,mechanism,candidate_symbol_or_operation,source_file,source_lines,source_revision,selected_file_sha256,disposition,required_follow_up
R2C-LOC-001,rcheevos,PS1 identification,rc_hash_generate dispatches PlayStation to rc_hash_psx,src/rhash/hash.c,954,c28462eafdbeb881a1d442754dd17aae5c4ab834,d845e69dfd90d28518763a5b9840590a6ca481eef14925d3b24e624cbff96922,CANDIDATE,Trace PS1 hash inputs and generated fixtures in Stage 7
R2C-LOC-002,rcheevos,PS1 identification,rc_hash_psx,src/rhash/hash_disc.c,928,c28462eafdbeb881a1d442754dd17aae5c4ab834,7c0b1457f4d9d6cc5001f5780138cd7cc2988823c75bf2a893d4976ed9253ebe,CANDIDATE,Enumerate reachable reads and declared-size rules in Stage 7
R2C-LOC-003,rcheevos,client initial load,rc_client_begin_load_game,src/rc_client.c,2923,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,CANDIDATE,Trace hash-to-session and game-data load consumers
R2C-LOC-004,rcheevos,client iterator hash load,rc_hash_generate call from client load path,src/rc_client.c,3069,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,CANDIDATE,Classify caller supplied hash versus iterator recomputation
R2C-LOC-005,rcheevos,media change,rc_client_change_media_internal,src/rc_client.c,3211-3469,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,CANDIDATE,Trace explicit media-change entry points and rehash triggers
R2C-LOC-006,rcheevos,memory callback,rc_client_set_read_memory_function,src/rc_client.c,5838,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,CANDIDATE,Trace callback installation and logical-address mapping
R2C-LOC-007,rcheevos,per-frame evaluation,rc_client_do_frame and worker calls,src/rc_client.c,6030-6457,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,CANDIDATE,Determine asset-driven reads versus generic integrity work
R2C-LOC-008,rcheevos,reset/session end,rc_client_reset and rc_client_unload_game,src/rc_client.c,3139;6630-6663,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,CANDIDATE,Trace reset and state-load behavior
R2C-LOC-009,RetroArch,memory callback,rcheevos_init_memory,cheevos/cheevos.c,147-208,48cbdb2e78ea6c92ade103941c4958ea312a5995,ba6569dfece1b98c5cf8718fbfcf6291c766f02e0ffdacd553dd908ee5d8ca18,CANDIDATE,Map frontend memory access and core ownership
R2C-LOC-010,RetroArch,load and session,rcheevos_load,cheevos/cheevos.c,1845-1943,48cbdb2e78ea6c92ade103941c4958ea312a5995,ba6569dfece1b98c5cf8718fbfcf6291c766f02e0ffdacd553dd908ee5d8ca18,CANDIDATE,Trace frontend initial-media handling into bundled rcheevos
R2C-LOC-011,RetroArch,media change,rcheevos_change_disc,cheevos/cheevos.c,2044,48cbdb2e78ea6c92ade103941c4958ea312a5995,ba6569dfece1b98c5cf8718fbfcf6291c766f02e0ffdacd553dd908ee5d8ca18,CANDIDATE,Trace explicit disc-change condition and callback
R2C-LOC-012,RetroArch,frame evaluation,rcheevos_test and rc_client_do_frame call,cheevos/cheevos.c,1138-1162,48cbdb2e78ea6c92ade103941c4958ea312a5995,ba6569dfece1b98c5cf8718fbfcf6291c766f02e0ffdacd553dd908ee5d8ca18,CANDIDATE,Trace frame scheduling and paused behavior
R2C-LOC-013,RetroArch,Hardcore restriction,rcheevos_enforce_hardcore_settings,cheevos/cheevos.c,888-1014,48cbdb2e78ea6c92ade103941c4958ea312a5995,ba6569dfece1b98c5cf8718fbfcf6291c766f02e0ffdacd553dd908ee5d8ca18,CANDIDATE,Classify feature restrictions separately from content checks
R2C-LOC-014,DuckStation,internal game identity,System::GetGameHashFromBuffer,src/core/system.cpp,892-901,96268ab66aa60c434c512bba19d45c75fa7a1b36,8edaac99b61000b8a7e35f9fe4514c8d05b2dbca93b8139293f719f40463ea7e,CANDIDATE,Separate internal identity consumer from RA identifier
R2C-LOC-015,DuckStation,RA identification,System::GetAchievementsHash,src/core/system.cpp,906-927,96268ab66aa60c434c512bba19d45c75fa7a1b36,8edaac99b61000b8a7e35f9fe4514c8d05b2dbca93b8139293f719f40463ea7e,CANDIDATE,Trace executable-name and size inputs and caller
R2C-LOC-016,DuckStation,initial load,Achievements::SetGameHash and rc_client_begin_load_game,src/core/achievements.cpp,1121-1173,96268ab66aa60c434c512bba19d45c75fa7a1b36,d688a3d64fa1cff16e74921cee8cd0460366c9ea1b1e702323a5e42aff9d3f16,CANDIDATE,Trace SetGameHash caller and session binding
R2C-LOC-017,DuckStation,per-frame evaluation,Achievements::FrameUpdate and rc_client_do_frame,src/core/achievements.cpp,910-916,96268ab66aa60c434c512bba19d45c75fa7a1b36,d688a3d64fa1cff16e74921cee8cd0460366c9ea1b1e702323a5e42aff9d3f16,CANDIDATE,Trace memory callback and frame read behavior
R2C-LOC-018,DuckStation,system lifecycle,OnSystemStarting and OnSystemDestroyed,src/core/achievements.cpp,1039-1109;1305,96268ab66aa60c434c512bba19d45c75fa7a1b36,d688a3d64fa1cff16e74921cee8cd0460366c9ea1b1e702323a5e42aff9d3f16,CANDIDATE,Trace reset and unload conditions
R2C-LOC-019,RAWeb,server load compatibility,GetAchievementSetsAction execute and hash lookup,app/Connect/Actions/GetAchievementSetsAction.php,36;85;122-144,56cd88e57c6dc6994e130a918e3967f9b74e9eb9,a5e09fa9e6a9038fb023ad6ac2c853734bda7627e4def49e5146bc6b3390206b,CANDIDATE,Review deployed-server boundary and session/load request path
R2C-LOC-020,RAWeb,server award hash association,AwardAchievementAction request hash lookup,app/Connect/Actions/AwardAchievementAction.php,27;80-128,56cd88e57c6dc6994e130a918e3967f9b74e9eb9,13ffa7845be07367982bfb2e834d2b7a2e8371afa9a7272cd5b04a3cb090efbf,CANDIDATE,Review request lifecycle without reproducing validation material
R2C-LOC-021,RetroArch bundled rcheevos,source provenance,Selected rc_client.c matches upstream while selected hash_disc.c differs,dependencies file digests,selected files,48cbdb2e78ea6c92ade103941c4958ea312a5995,2c76b0064068c58c2c7f0d35f7b7a710a2df1387eabcf8f9fe3026dde95860db,OBSERVED,Compare bounded implementation differences before asserting hash behavior for a RetroArch row
