location_id,layer,operation,source_file,source_lines,source_revision,source_sha256,status,scope_note
R3A-LOC-001,rcheevos,PlayStation dispatch routes non-playlist media to rc_hash_psx,src/rhash/hash.c,947-952,c28462eafdbeb881a1d442754dd17aae5c4ab834,d845e69dfd90d28518763a5b9840590a6ca481eef14925d3b24e624cbff96922,OBSERVED,Playlist handling is a separate branch and not covered by the ordinary fixture path
R3A-LOC-002,rcheevos,top-level hash generation selects file or buffer route,src/rhash/hash.c,1399-1403,c28462eafdbeb881a1d442754dd17aae5c4ab834,d845e69dfd90d28518763a5b9840590a6ca481eef14925d3b24e624cbff96922,OBSERVED,The neutral fixture execution path will use an ordinary generated file
R3A-LOC-003,rcheevos,ISO file lookup reads PVD and directory records to locate a named file,src/rhash/hash_disc.c,82-170,c28462eafdbeb881a1d442754dd17aae5c4ab834,7c0b1457f4d9d6cc5001f5780138cd7cc2988823c75bf2a893d4976ed9253ebe,OBSERVED,Locator metadata is used to find the executable; this row does not make a complete-disc hashing claim
R3A-LOC-004,rcheevos,selected file hashing appends at most the supplied size,src/rhash/hash_disc.c,174-211,c28462eafdbeb881a1d442754dd17aae5c4ab834,7c0b1457f4d9d6cc5001f5780138cd7cc2988823c75bf2a893d4976ed9253ebe,OBSERVED,Fixture A5 prediction depends on this bounded read behavior and requires execution
R3A-LOC-005,rcheevos,BOOT parser locates SYSTEM.CNF entry and normalizes the executable name,src/rhash/hash_disc.c,866-924,c28462eafdbeb881a1d442754dd17aae5c4ab834,7c0b1457f4d9d6cc5001f5780138cd7cc2988823c75bf2a893d4976ed9253ebe,OBSERVED,Existing upstream tests cover missing SYSTEM.CNF subfolder and extra-slash cases but were not run here
R3A-LOC-006,rcheevos,PlayStation hash opens track one uses BOOT or PSX.EXE fallback and hashes executable name plus selected bytes,src/rhash/hash_disc.c,928-980,c28462eafdbeb881a1d442754dd17aae5c4ab834,7c0b1457f4d9d6cc5001f5780138cd7cc2988823c75bf2a893d4976ed9253ebe,OBSERVED,Source-only input boundary pending neutral fixture results
R3A-LOC-007,rcheevos,client initial identification initializes iterator and computes hash before loading game,src/rc_client.c,2991-3069,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,OBSERVED,External-client delegation is a separate boundary
R3A-LOC-008,rcheevos,client load associates hash with local record and fetches data or resolves hash through callback,src/rc_client.c,2538-2651;2815-2900,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,OBSERVED,Configured server callback and deployment behavior are not inspected
R3A-LOC-009,rcheevos,game-set callback starts session and activation occurs after pending load work completes,src/rc_client.c,1787-2051;2288-2418,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,OBSERVED,Activation validates asset-requested addresses through the configured reader
R3A-LOC-010,rcheevos,explicit identify-and-change-media hashes new supplied media unless cached path record exists,src/rc_client.c,3211-3484,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,OBSERVED,This is not evidence of periodic rehashing
R3A-LOC-011,rcheevos,memory callback setter and bounded little-endian read helpers,src/rc_client.c,5838-5958,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,OBSERVED,Concrete logical addresses depend on unavailable current asset definitions
R3A-LOC-012,rcheevos,frame path updates runtime memrefs then evaluates active assets and raises events,src/rc_client.c,5978-6028;6030-6457,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,OBSERVED,No generic-monitor absence conclusion is made from this bounded path alone
R3A-LOC-013,rcheevos,achievement and leaderboard pending events begin configured-server request paths,src/rc_client.c,4618-4857;5283-5497;6151-6363,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,OBSERVED,Request construction is not reproduced and no service interaction occurred
R3A-LOC-014,rcheevos,reset checks existing hash record then resets runtime while progress deserialization restores runtime state,src/rc_client.c,6630-6664;6861-6922,c28462eafdbeb881a1d442754dd17aae5c4ab834,5b2ccf65dc60cb30f2e23f211d8ab5969ec0d3cfabeaf18801965f08fd84a38a,OBSERVED,No source hash call is recorded in these reviewed routine ranges
R3A-LOC-015,upstream test suite,existing unit tests exercise normal PS1 lookup fallback subfolder and slash cases,tests/rhash/test_hash_disc.c,982-1125,c28462eafdbeb881a1d442754dd17aae5c4ab834,9e476414eb6bde89dd789950d5ee55cb9fbfbc3b9f2f0653937102d0a0430746,OBSERVED_NOT_EXECUTED,R3A does not treat static test presence as an execution result
R3A-LOC-016,RetroArch source,frontend source calls rcheevos load frame reset unload and explicit disc-change APIs,cheevos/cheevos.c,779-832;1138-1164;1476-1501;1845-2010;2044-2050,48cbdb2e78ea6c92ade103941c4958ea312a5995,ba6569dfece1b98c5cf8718fbfcf6291c766f02e0ffdacd553dd908ee5d8ca18,OBSERVED_SOURCE_ONLY,Installed frontend and core remain source-unmapped and are not covered as binary behavior
