coverage_id,requirement,status,evidence_path,evidence_locator,missing_input_or_boundary,effect_on_r2c_or_later_claim,next_required_action
COV-001,Current official PlayStation integrations refreshed,PASS,docs/r2-c-inventory/support-refresh.md,current scoped entries,None,All four current integration rows are in scope,Refresh before Stage 8 or Stage 11 closure
COV-002,One inventory row per current integration,PASS,docs/r2-c-inventory/binary-source-map.csv,all four rows,None,Matrix coverage is complete for the current support list,Retain rows through R3 and update only on support-list change
COV-003,Pinned rcheevos and RA source identities,PASS,docs/r2-c-inventory/input-manifest.json,source_pins; selected_source_file_sha256,None,Static conclusions can be version-bounded to pinned sources,Revalidate pins if source work resumes after a material delay
COV-004,Pinned RetroArch and DuckStation source identities,PASS,docs/r2-c-inventory/input-manifest.json,source_pins; selected_source_file_sha256,None,Static integration candidates can be version-bounded to pinned sources,Revalidate pins if source work resumes after a material delay
COV-005,Candidate lifecycle and other-hash inventory,PASS,docs/r2-c-inventory/source-locations.csv,R2C-LOC-001 through R2C-LOC-027,None,R3 has a bounded source-location starting inventory,Trace callers and consumers in R3
COV-006,Integrity-keyword hit disposition,PASS,docs/r2-c-inventory/integrity-hit-dispositions.csv,DISP-001 through DISP-012,None,Initial keyword hits cannot be mistaken for unclassified integrity evidence,Use the ledger during R3 call-path review
COV-007,Configured-scope installed binary identity,PASS,evidence/stage-01-provenance/emulator-binaries.csv,RetroArch and SwanStation rows,None,Exact local file hashes are known without publishing paths,Rehash only if a future binary observation uses a changed file
COV-008,Exact source mapping for installed RetroArch frontend,BLOCKED-INPUT,docs/r2-c-inventory/binary-source-map.csv,RetroArch plus SwanStation row,Exact build revision or reproducible build provenance,No High-confidence installed-frontend behavior or negative claim,Obtain exact version/build provenance or retain Medium ceiling
COV-009,Exact source mapping for installed SwanStation core,BLOCKED-INPUT,docs/r2-c-inventory/binary-source-map.csv,RetroArch plus SwanStation row,Exact core build revision or reproducible build provenance,No High-confidence installed-core behavior or negative claim,Obtain exact version/build provenance or retain Medium ceiling
COV-010,Beetle PSX HW and Beetle PSX integration binaries,EXPLICITLY_UNAVAILABLE,docs/r2-c-inventory/binary-source-map.csv,first two rows,Core libraries unavailable in configured scope,No local binary behavior can be tested or asserted,Locate authorized exact binaries or retain unavailable rows
COV-011,Standalone DuckStation binary,EXPLICITLY_UNAVAILABLE,docs/r2-c-inventory/binary-source-map.csv,Standalone DuckStation row,Executable unavailable in configured scope,No local standalone behavior can be tested or asserted,Locate an authorized exact binary or retain unavailable row
COV-012,Complete R2-C artifact sealing,PASS,docs/r2-c-inventory/artifacts.sha256,all listed artifacts,None,Packet has machine-checkable artifact identity,Recompute after every R2-C artifact change
COV-013,Independent R2-C pass gate,BLOCKED-INPUT,docs/r2-c-inventory/phase-report.md,Outcome and gate assessment,Source mappings for installed binaries remain unavailable,R2-C cannot be marked PASS and cannot support unbounded binary conclusions,Resolve COV-008 and COV-009 or retain the final affected claims as bounded unknowns
