value,cpu_address,mnemonic,operands,disposition
0x0800,0x80013480,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80013A64,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80013C94,addiu,"$s1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80013D1C,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80013D30,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80013E38,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80014584,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800145B4,ori,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80014B9C,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80015FBC,addiu,"$v0, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001731C,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x1800,0x800173FC,addiu,"$v1, $zero, 0x1800",grouped-in-native-validation-search.csv
0x0800,0x80017488,addiu,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80017540,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x1D33,0x80017AD0,addiu,"$a2, $a2, 0x1d33",grouped-in-native-validation-search.csv
0x1800,0x80017E8C,andi,"$v0, $v0, 0x1800",grouped-in-native-validation-search.csv
0x0800,0x80017EC4,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800180E4,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001A114,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001AA38,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001AFC8,addiu,"$a1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001B2F0,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001C924,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001D2DC,ori,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001D484,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001D4CC,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001DA1C,andi,"$v0, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001DAD8,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001DC6C,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001ECB4,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001ECFC,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001EDB4,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001EDFC,slti,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001F048,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001F060,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001F094,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001F0A8,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001F96C,andi,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001FC40,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x8001FD80,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800201D4,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80020C94,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80020CA8,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80020D20,addiu,"$v1, $zero, 0x800",grouped-in-native-validation-search.csv
0x1D33,0x80021110,addiu,"$a2, $a2, 0x1d33",grouped-in-native-validation-search.csv
0x07FF,0x80021848,andi,"$v0, $v0, 0x7ff",grouped-in-native-validation-search.csv
0x02D2,0x80021874,slti,"$v0, $v1, 0x2d2",grouped-in-native-validation-search.csv
0x0800,0x80022304,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x800226C8,andi,"$v0, $a0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80022764,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80022A48,andi,"$v0, $a0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80022B04,andi,"$v0, $v0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80023558,addiu,"$v1, $v1, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80023E38,addiu,"$a0, $a0, 0x800",grouped-in-native-validation-search.csv
0x0800,0x80023F08,addiu,"$a0, $a0, 0x800",grouped-in-native-validation-search.csv
0x07FF,0x80024460,andi,"$v0, $v0, 0x7ff",grouped-in-native-validation-search.csv
0x0800,0x80024604,addiu,"$v0, $zero, 0x800",grouped-in-native-validation-search.csv
