symbol,cpu_kseg0_start,cpu_kseg0_end,ps1_ram_start,ps1_ram_end,ra_start,ra_end,slus_file_start,slus_file_end,wa_user_start,wa_user_end,disc_lba_start,disc_lba_end,size_bytes,element_width,element_count,stride_bytes,role,producer_routine,consumer_routines,evidence_ids,confidence,notes
opponent_01_record,0x801781D8,0x801799D7,0x001781D8,0x001799D7,0x1781D8,0x1799D7,,,0x00E9B000,0x00E9C7FF,17580,17582,6144,,,,current_opponent_record_lead,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
opponent_01_array_0,0x801781D8,0x8017877B,0x001781D8,0x0017877B,0x1781D8,0x17877B,,,0x00E9B000,0x00E9B5A3,17580,17580,1444,2,722,1460,deck_weights_lead,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
opponent_01_gap_0,0x8017877C,0x8017878B,0x0017877C,0x0017878B,0x17877C,0x17878B,,,0x00E9B5A4,0x00E9B5B3,17580,17580,16,,,,alignment_or_unknown,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
opponent_01_array_1,0x8017878C,0x80178D2F,0x0017878C,0x00178D2F,0x17878C,0x178D2F,,,0x00E9B5B4,0x00E9BB57,17580,17581,1444,2,722,1460,sa_pow_weights_lead,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
opponent_01_gap_1,0x80178D30,0x80178D3F,0x00178D30,0x00178D3F,0x178D30,0x178D3F,,,0x00E9BB58,0x00E9BB67,17581,17581,16,,,,alignment_or_unknown,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
opponent_01_array_2,0x80178D40,0x801792E3,0x00178D40,0x001792E3,0x178D40,0x1792E3,,,0x00E9BB68,0x00E9C10B,17581,17582,1444,2,722,1460,bcd_weights_lead,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
opponent_01_gap_2,0x801792E4,0x801792F3,0x001792E4,0x001792F3,0x1792E4,0x1792F3,,,0x00E9C10C,0x00E9C11B,17582,17582,16,,,,alignment_or_unknown,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
opponent_01_array_3,0x801792F4,0x80179897,0x001792F4,0x00179897,0x1792F4,0x179897,,,0x00E9C11C,0x00E9C6BF,17582,17582,1444,2,722,1460,sa_tec_weights_lead,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
opponent_01_gap_3,0x80179898,0x801798A7,0x00179898,0x001798A7,0x179898,0x1798A7,,,0x00E9C6C0,0x00E9C6CF,17582,17582,16,,,,alignment_or_unknown,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
opponent_01_rank_candidate,0x801798A8,0x8017996F,0x001798A8,0x0017996F,0x1798A8,0x17996F,,,0x00E9C6D0,0x00E9C797,17582,17582,200,,,,rank_data_lead,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
opponent_01_tail,0x80179970,0x801799D7,0x00179970,0x001799D7,0x179970,0x1799D7,,,0x00E9C798,0x00E9C7FF,17582,17582,104,,,,unknown_tail,UNRESOLVED_STAGE_3,UNRESOLVED_STAGE_3,LAYOUT-001;LAYOUT-002,High-layout/Lead-semantics,"SLUS file columns are blank because this is disc data loaded into RAM, not executable-backed static data."
