disposition_id,source_layer,source_files,locators,consumer_category,scoped_relationship_to_target,classification,status,limitations,next_required_review
DISP-001,rcheevos,"src/runtime.c; src/rc_client_internal.h; src/rc_client.c","runtime.c 96; rc_client.c 2104-2124 and 2240-2244",serialized achievement leaderboard and Rich Presence definition fingerprint,"The reviewed checksum input is definition text supplied while loading or reusing runtime objects; it is not a reviewed input path for emulated RAM disc sectors or loaded reward tables.",definition-asset-fingerprint,SOURCE_DISPOSITIONED,"Only the reviewed call sites are classified. This does not establish all checks in source or any released binary.",Trace complete asset-load provenance without storing raw definitions
DISP-002,rcheevos,src/rc_util.c,utility digest-formatting helper,utility formatting,"The hit is a digest presentation utility and is not a target-media or emulated-memory consumer.",utility,SOURCE_DISPOSITIONED,"A local utility classification is not a program-wide negative result.",No target-specific action unless a caller enters the R3 graph
DISP-003,rcheevos,"src/rhash/cdreader.c; src/rhash/hash_disc.c","CD reader helpers; rc_hash_psx 928-980",normal media identification,"The reviewed PS1 path reads boot-executable identity and declared executable extent for normal game identification. It is not a completed fixture result and makes no runtime-monitor claim.",game-identification,SOURCE_DISPOSITIONED,"Source-only. Generated safe fixtures are required to prove the observed input boundary; installed-binary mapping is absent.",Run generated non-target fixture suite in the planned bounded verification stage
DISP-004,rcheevos,src/rhash/hash_zip.c,archive hash reader,archive-format reader,"This is an archive-format input handler and is not a PS1 disc runtime consumer in the reviewed scope.",out-of-scope-format,SOURCE_DISPOSITIONED,"Other archive paths remain outside this narrow classification.",Review only if a supported PS1 integration routes relevant media through it
DISP-005,RetroArch,cheevos/cheevos.c,"1341-1343; 1988",frontend media identification routing,"The reviewed CHD and CUE or M3U branches select a file-based hashing route during identification. They are distinct from the recorded per-frame client call.",frontend-identification,SOURCE_DISPOSITIONED,"Caller conditions and released frontend behavior are not source-mapped. No periodic reread or enforcement conclusion follows.",Trace callers and exercise safe generated media fixtures if authorized by the plan
DISP-006,RetroArch,cheevos/cheevos_rvz.c,RVZ sector hash constants and reader code,Wii or GameCube RVZ format handling,"The hit concerns RVZ format handling rather than the PlayStation target media or loaded reward tables.",out-of-scope-format,SOURCE_DISPOSITIONED,"This does not characterize all RetroArch cores or formats.",No target-specific action unless scope expands to RVZ media
DISP-007,DuckStation,"src/core/game_database.h; src/core/game_database.cpp; src/duckstation-qt/fullscreenui_settings.cpp; src/duckstation-qt/fullscreenui_strings.h","game_database.cpp 1995-1997; UI references around 2452 and 2515",optional image verification and Redump lookup UI,"Pinned source exposes an optional image-verification and external Redump lookup feature. It is a separate candidate from the reviewed achievements session functions and must not be treated as an automatic RA-session check.",optional-image-verification,SOURCE_DISPOSITIONED,"This review has not established invocation conditions result handling user selection or installed-binary behavior.",Trace consumer and UI-to-verifier path with non-target safe evidence only
DISP-008,DuckStation,"src/core/memory_card.h; src/core/memory_card.cpp; src/core/memory_card_image.cpp","memory-card checksum declarations and image handling",memory-card protocol and directory integrity,"The hits concern the save-card medium. They do not identify a disc-media or live reward-table consumer in the reviewed code.",separate-save-medium,SOURCE_DISPOSITIONED,"A separate subsystem classification does not prove no cross-subsystem behavior elsewhere.",Keep separate from the disc and achievement-session graph
DISP-009,DuckStation,src/core/gdb_server.cpp,debugger packet framing,debugger transport integrity,"The hit is protocol framing for the debugger server rather than a target disc or achievement runtime consumer.",separate-debug-transport,SOURCE_DISPOSITIONED,"Availability configuration and binary behavior are not asserted.",Exclude from target integrity conclusion unless its caller enters scope
DISP-010,DuckStation,src/core/gpu_hw_texture_cache.cpp,texture cache memory accounting,GPU cache accounting,"The hit is graphics cache accounting and not a target disc or reward-table reader.",separate-rendering-subsystem,SOURCE_DISPOSITIONED,"The narrow classification does not analyze unrelated rendering behavior.",No target-specific action
DISP-011,RAWeb,"AwardAchievementAction.php; AwardAchievementsAction.php; BuildConnectSniffsAction.php; GeneratesConnectWarnings.php; SubmitLeaderboardEntryAction.php",reviewed keyword-hit actions,Connect request award session and warning boundary,"The reviewed actions handle service request session award or warning metadata. This source pass found no local emulator-media reader in these actions.",server-boundary,SOURCE_DISPOSITIONED,"Pinned source is not a deployed-service attestation and unreviewed server code remains unknown. No request-validation material is recorded.",Perform a separately authorized deployment-boundary audit if needed
DISP-012,RAWeb,"SubmitAchievementAction.php; SubmitLeaderboardAction.php",reviewed keyword-hit actions,achievement and leaderboard authoring boundary,"The hits are creator or authoring submission actions rather than the player's local emulator-media path.",separate-authoring-boundary,SOURCE_DISPOSITIONED,"Deployment behavior and authorization logic are intentionally not reproduced or inferred.",Keep outside player integrity findings unless scope is expanded safely
