opponent_id,wa_record_start,wa_record_end_inclusive,record_size,disc_lba_start,disc_lba_end_inclusive,record_sha256,array_0_start,array_1_start,array_2_start,array_3_start,rank_candidate_start,tail_start
1,0x00E9B000,0x00E9C7FF,0x1800,17580,17582,1b3925724cfbf58197fc79a8b1166387d9a438ffdf35162c8e863b852bd8b4f7,0x00E9B000,0x00E9B5B4,0x00E9BB68,0x00E9C11C,0x00E9C6D0,0x00E9C798
2,0x00E9C800,0x00E9DFFF,0x1800,17583,17585,2545448f1f09eba390a818786a19429c6aaae374f0a8e2ff0eed325fbb88b161,0x00E9C800,0x00E9CDB4,0x00E9D368,0x00E9D91C,0x00E9DED0,0x00E9DF98
3,0x00E9E000,0x00E9F7FF,0x1800,17586,17588,f038a465e3f7208880f0ea03b04afeb736273594ffa1c6cfcf4241b658a604ad,0x00E9E000,0x00E9E5B4,0x00E9EB68,0x00E9F11C,0x00E9F6D0,0x00E9F798
4,0x00E9F800,0x00EA0FFF,0x1800,17589,17591,7b185d9917966359a56f7eeab2fec1d049b7b2e86e22ab2a172644727623b9b4,0x00E9F800,0x00E9FDB4,0x00EA0368,0x00EA091C,0x00EA0ED0,0x00EA0F98
5,0x00EA1000,0x00EA27FF,0x1800,17592,17594,23557c2ef9c981359cdc5bcbbe989542dd022a492776b62037e8408b230bcfaa,0x00EA1000,0x00EA15B4,0x00EA1B68,0x00EA211C,0x00EA26D0,0x00EA2798
6,0x00EA2800,0x00EA3FFF,0x1800,17595,17597,206e91f0e641b30be6c2f899a04eb35b70ab354b52d5fea17045540aec8a2e77,0x00EA2800,0x00EA2DB4,0x00EA3368,0x00EA391C,0x00EA3ED0,0x00EA3F98
7,0x00EA4000,0x00EA57FF,0x1800,17598,17600,c59826c8ea65e4237be467e99f61dedd45a17b867d55546a3682b02f4f18e3e4,0x00EA4000,0x00EA45B4,0x00EA4B68,0x00EA511C,0x00EA56D0,0x00EA5798
8,0x00EA5800,0x00EA6FFF,0x1800,17601,17603,ba289dde7e2d01b1fc20f8987c89fe0ed77a9ba1fff495b3338174320c60ce70,0x00EA5800,0x00EA5DB4,0x00EA6368,0x00EA691C,0x00EA6ED0,0x00EA6F98
9,0x00EA7000,0x00EA87FF,0x1800,17604,17606,ba0a2a1d60931fcf5dd931a55f51325e76fb5d18102130394d2a5e7948c3373f,0x00EA7000,0x00EA75B4,0x00EA7B68,0x00EA811C,0x00EA86D0,0x00EA8798
10,0x00EA8800,0x00EA9FFF,0x1800,17607,17609,5be06eefed17e7c8f7c1acd823125c6a74fa3a796b83afb935a236603fa3f2ee,0x00EA8800,0x00EA8DB4,0x00EA9368,0x00EA991C,0x00EA9ED0,0x00EA9F98
