fact_id,stage,claim,status,confidence,source_type,source_title,source_locator,source_revision,observed_at_utc,evidence_path,reproduction_id,corroborating_fact_ids,contradiction_ids,limitations,reviewer
STATIC-MAP-001,3,"The accepted PS-X EXE maps file offsets to CPU addresses as CPU=0x80010000+(file-0x800); bounded analysis covered 0x80012800-0x800906DF and all emitted instruction rows carry the accepted executable SHA-256.",CONFIRMED,High,private-stock-binary,Accepted SLUS_014.11,"PS-X header and bounded code map",84a54ed74f3d0edd6d81380839f7e4ef5bfb21ecea18be9a062bd6bfa5a45c88,2026-09-14T11:43:24Z,evidence/stage-03-static-re/executable-map.json,STAGE3-REPRO-001,PROV-003,,"Dynamically loaded overlay addresses are excluded unless explicitly mapped.",Codex
STATIC-OPP-001,3,"The opponent selector byte at CPU 0x8009B361 has two proven stock writers: func_80024DC8 at 0x80024DF0 and indirect-dispatch function func_80038530 at 0x8003856C.",CONFIRMED,High,private-stock-disassembly,Accepted SLUS_014.11,"writes 0x80024DF0 and 0x8003856C; func_80038530 pointer at SLUS-FILE 0x816E0",PRIVATE_DISC_NTSC_U_TRACK_01,2026-09-14T11:43:24Z,evidence/stage-03-static-re/functions.csv,STAGE3-REPRO-002,STATIC-MAP-001,,"The surrounding gameplay labels are descriptive; the write addresses and values are exact.",Codex
STATIC-LOAD-001,3,"func_8002CEE8 reads 0x8009B361 and has the sole direct call to func_800179F4 at 0x8002D014; func_800179F4 computes sector 0x1D33+3*selector and requests three sectors to CPU 0x801781D8 at 0x80017AE8.",CONFIRMED,High,private-stock-disassembly,Accepted SLUS_014.11,"0x8002CF24-0x8002CF38; 0x8002D014; 0x80017AB0-0x80017AEC",PRIVATE_DISC_NTSC_U_TRACK_01,2026-09-14T11:43:24Z,evidence/stage-03-static-re/load-callgraph.mmd,STAGE3-REPRO-002,XREF-001;STATIC-OPP-001,,"State-machine timing requires Stage 4 runtime corroboration.",Codex
STATIC-LOAD-002,3,"func_80014E1C -> func_80013998 -> func_80013940 constructs a direct-memory request with byte offset sector*0x800 byte count 0x1800 and destination 0x801781D8.",CONFIRMED,High,private-stock-disassembly-and-matching-map,Accepted SLUS plus matching decomp symbols,"0x80014E88-0x80014EBC; 0x80013940-0x80013A90",18bcb5806cb3dff60d3d3ee7163ce55ff6884c00,2026-09-14T11:43:24Z,evidence/stage-03-static-re/instruction-evidence.md,STAGE3-REPRO-002,STATIC-LOAD-001,,"Inherited function names are numeric; the role follows instruction data flow.",Codex
STATIC-LOAD-003,3,"func_8001455C initiates queued read command 6 through Psy-Q DsPacket at 0x80014A1C with mode 0xA0 retry=-1 and callback 0x800140A0; transport failure paths retry or defer rather than compare record contents.",CONFIRMED,High,private-stock-disassembly-and-primary-documentation,Accepted SLUS plus Psy-Q Library Overview,"0x80014910-0x80014A24; DsPacket and DslReadN documentation",PRIVATE_DISC_NTSC_U_TRACK_01,2026-09-14T11:43:24Z,evidence/stage-03-static-re/instruction-evidence.md,STAGE3-REPRO-003,STATIC-LOAD-002,,"Original Psy-Q documentation is accessed through a public archival mirror.",Codex
STATIC-LOAD-004,3,"The ready callback func_80013C28 calls a wrapper around CD_getsector for 0x200 words per sector then advances destination and decrements remaining bytes by 0x800 until the three-sector request completes.",CONFIRMED,High,private-stock-disassembly-and-matching-library-map,Accepted SLUS plus matching decomp library symbols,"0x80013CC8-0x80013D50; wrapper 0x8007E3D0 -> CD_getsector 0x8007E3F0",18bcb5806cb3dff60d3d3ee7163ce55ff6884c00,2026-09-14T11:43:24Z,evidence/stage-03-static-re/range-writers.csv,STAGE3-REPRO-002,STATIC-LOAD-002;STATIC-LOAD-003,,"The asynchronous completion timing remains a Stage 4 observation.",Codex
STATIC-DECK-001,3,"func_800243F4 uses CPU 0x801781D8 as an unsigned 16-bit weighted pool and repeatedly draws 1..2048 targets until it accepts 40 card IDs while rejecting a fourth copy; func_800245A0 is its direct setup caller.",CONFIRMED,High,private-stock-disassembly-and-independent-source,Accepted SLUS plus pinned recompilation,"0x80024430-0x800244E0; psx_cpu_data.c deck description",6b3579c6032fc59479a127824a27fc1f810e4f14,2026-09-14T11:43:24Z,evidence/stage-03-static-re/range-readers.csv,STAGE3-REPRO-002,LAYOUT-002,,"The loop bounds candidate IDs below 720 despite the stored array containing 722 entries; runtime behavior is not required to establish the reader.",Codex
STATIC-RANK-001,3,"The 0xC8-byte block at CPU 0x801798A8 is ten 0x14-byte rows of signed threshold/value pairs read by func_80021558; func_80021598 calls it ten times to build duel-result score components.",CONFIRMED,High,private-stock-disassembly-and-byte-matching-decomp,Accepted SLUS plus func_80021558.c,"0x80021558-0x800217E8",18bcb5806cb3dff60d3d3ee7163ce55ff6884c00,2026-09-14T11:43:24Z,evidence/stage-03-static-re/interpret-callgraph.mmd,STAGE3-REPRO-002,LAYOUT-002,,"Human-readable names for each of the ten input metrics are not required and remain unresolved.",Codex
STATIC-ROLL-001,3,"func_80021810 selects base 0x8017878C+tier*1460 calls RNG masks it to 0..2047 adds one accumulates up to 722 unsigned u16 weights and returns first crossing index+1 or zero if no crossing.",CONFIRMED,High,private-stock-disassembly-and-independent-source,Accepted SLUS plus historical scrambler,"0x80021810-0x80021890; DataScrambler.cs reward-array layout",94d44292cfd51aa24a29b2a42131413e5f25aff2,2026-09-14T11:43:24Z,evidence/stage-03-static-re/instruction-evidence.md,STAGE3-REPRO-002,LAYOUT-003,,"The function performs no tier bounds check; ordinary caller supplies only 0..2.",Codex
STATIC-ROLL-002,3,"Whole mapped-code direct-call scanning finds exactly one stock caller of func_80021810 at 0x80021C60 and whole-file little-endian pointer scanning finds no address-as-data occurrence for that function.",CONFIRMED,High,private-stock-binary-scan,Accepted SLUS_014.11,"mapped code 0x80012800-0x800906DF and full-file pointer scan",PRIVATE_DISC_NTSC_U_TRACK_01,2026-09-14T11:43:24Z,evidence/stage-03-static-re/direct-call-xrefs.csv,STAGE3-REPRO-001,STATIC-MAP-001;STATIC-ROLL-001,,"A dynamically synthesized function address is not proven; no construction was identified in relevant control flow.",Codex
