opponent_id,array_index,semantic_lead,wa_start,wa_end_inclusive,size_bytes,element_width,element_count,sum,nonzero_count,first_nonzero_card_id,last_nonzero_card_id,sha256
1,0,deck_weights_lead,0x00E9B000,0x00E9B5A3,1444,2,722,2048,32,9,635,4ffcbf3786dfb8da3faf237514c038dad9b23cb17e5790dbf1067b89474731a2
1,1,sa_pow_weights_lead,0x00E9B5B4,0x00E9BB57,1444,2,722,2048,47,2,635,39d439291530b53c9e279df58b735af746449479e1564a1cf651110c07958f2d
1,2,bcd_weights_lead,0x00E9BB68,0x00E9C10B,1444,2,722,2048,43,9,690,abe75176519bfe83d69376bb6fd2af21911e9c47045197c209b326b627d845d9
1,3,sa_tec_weights_lead,0x00E9C11C,0x00E9C6BF,1444,2,722,2048,49,9,690,a37d2420c742546829175558e338c4817caae0346d77ea86dd0234f35ee91f30
2,0,deck_weights_lead,0x00E9C800,0x00E9CDA3,1444,2,722,2048,21,9,402,56ec64a464c192b9554b3f2e24781fad7010f50eb09c4b4ea86d9706de7422d3
2,1,sa_pow_weights_lead,0x00E9CDB4,0x00E9D357,1444,2,722,2048,19,19,580,044f3304d695768eef01d2a58f6baf0f77ee8e3d82518c3cb96eee8607e5e3c2
2,2,bcd_weights_lead,0x00E9D368,0x00E9D90B,1444,2,722,2048,17,19,699,a9fdb3c95fe23fa268c8b22e2d553e7e326d787daf25ade58bd90f86c5c0a438
2,3,sa_tec_weights_lead,0x00E9D91C,0x00E9DEBF,1444,2,722,2048,23,19,699,fdfeed91d987b0587adcb3061d81a46e4baf2b3d69a88a1101840fce78c8b31e
3,0,deck_weights_lead,0x00E9E000,0x00E9E5A3,1444,2,722,2048,23,4,635,8b2a3d9d65a4f19e912a55e22fbbfc1d8d03f2694136927f870770bbd8225253
3,1,sa_pow_weights_lead,0x00E9E5B4,0x00E9EB57,1444,2,722,2048,56,4,681,42e7faff2e27ac9afb1bff693755c4d151f944c937dba9275482a0334e4e285c
3,2,bcd_weights_lead,0x00E9EB68,0x00E9F10B,1444,2,722,2048,52,16,690,6556ecca035e24294a94d53f00b2f1c808aa00f80f1cc2a50b06c0753474f91a
3,3,sa_tec_weights_lead,0x00E9F11C,0x00E9F6BF,1444,2,722,2048,58,16,690,e43041a773ce36716f5f2950bc6b0f9778fc5ad96e18842740ae511875695daf
4,0,deck_weights_lead,0x00E9F800,0x00E9FDA3,1444,2,722,2048,27,24,644,1bbb09fa8a1983eff1cf0b521989a758d816540c17467636e8fc70141981cdfd
4,1,sa_pow_weights_lead,0x00E9FDB4,0x00EA0357,1444,2,722,2048,43,9,690,29e27dc3f20834a3fc96bac3fb328aa7c0f399d120457d94060caa0340e7646c
4,2,bcd_weights_lead,0x00EA0368,0x00EA090B,1444,2,722,2048,35,9,690,14f9c3abf25eb0667f81eb54129789639a10d00db54b81f06663c8b4efe1cae7
